S.No,Description,URL
1,"About Google Certifications
(official site)",https://cloud.google.com/certification
2,Exam registration,https://webassessor.com/googlecloud
3,Official google practice exam,https://docs.google.com/forms/d/e/1FAIpQLSfexWKtXT2OSFJ-obA4iT3GmzgiOCGvjrT9OfxilWC1yPtmfQ/viewform
4,"GCP ACE handbook
(by Dan Sullivan - who wrote the Official Certification Guide for Google)",https://drive.google.com/file/d/1MIpFtUdU_MIpn-rUzin16MUV5RXAe3nD/view?usp=sharing
5,"Google Associate Cloud Engineer: Get Certified 2020
(by Dan Sullivan)",https://www.udemy.com/course/google-certified-associate-cloud-engineer-2019-prep-course/
6,"Google Cloud Associate Cloud Engineer Practice Exams
(by Dan Sullivan)",https://www.udemy.com/course/google-cloud-associate-cloud-engineer-practice-examspractice-exams/
7,"Skylines Academy - Google Cloud Platform (GCP) Certification Associate Cloud Engineer 2020
(by Nick Colye)",https://mega.nz/folder/wF4FRKjC#8wpIK6_phFF46LR_TSheCg
8,"Google Cloud Associate Cloud Engineer - The Certified Q&A for GCP
(AwesomeGCP - YouTube Channel)",https://youtube.com/playlist?list=PLQMsfKRZZviRwqJwNmh1eAWnRMvlrk40x
9,Course by Antoni Tzavelas,https://training.antonit.com/p/google-cloud-associate-cloud-engineer
10,Practice Test,https://www.examtopics.com/exams/google/associate-cloud-engineer/view/
11,Partner certification kickstart ,https://inthecloud.withgoogle.com/pck-page/register.html
12,Free courses and coupon ,https://docs.google.com/document/d/1kss1J_MI_d0hbXmFemEB1mq5zJamcyIFN-8QvZr15Dk/edit
13,Question dump for GCP ACE certification, https://drive.google.com/drive/u/0/folders/1gaF5CEUwpMCB2DRMrEtN1vKIgIvhiOqn
